"Temperature (C)","Pressure (MPa)","Density (kg/m3)","Volume (m3/kg)","Internal Energy (kJ/kg)","Enthalpy (kJ/kg)","Entropy (J/g*K)","Cv (J/g*K)","Cp (J/g*K)","Sound Spd. (m/s)","Joule-Thomson (K/MPa)","Viscosity (Pa*s)","Therm. Cond. (W/m*K)",Phase,"Surf. Tension (N/m)","Vapor Pressure (Mpa)","h_fg (kJ/kg)"
38.01,0.101325,992.962590005,0.00100708728613,159.197359744,159.299402863,0.545721711059,4.08242332613,4.17927713104,1525.48688854,-0.213225717218,0.00067813802007,0.627785369782,liquid,0.0699186727858,0.00663642427896,2410.733750136
39.01,0.101325,992.591337925,0.00100746396003,163.376625433,163.478706718,0.559131540442,4.07790738662,4.17933460625,1527.23472459,-0.212625807365,0.00066530087077,0.629224171903,liquid,0.0697569533895,0.00700392405698,2408.344507514
40.01,0.101325,992.212527756,0.00100784859294,167.555959696,167.658079954,0.572498702143,4.07335660343,4.17941572106,1528.92104604,-0.21202969895,0.00065285501451,0.630641322184,liquid,0.0695946869863,0.00738887619357,2405.953365687
41.01,0.101325,991.826266002,0.00100824109451,171.73538568,171.837545709,0.585823541992,4.06877190247,4.17951948406,1530.54674243,-0.211437216561,0.00064078437342,0.632036700475,liquid,0.0694318748791,0.00779196084138,2403.560258182
42.01,0.101325,991.432655632,0.00100864137803,175.91492558,176.017126167,0.599106399498,4.06415420485,4.17964498371,1532.11268579,-0.210848189274,0.00062907370567,0.633410209366,liquid,0.0692685183759,0.00821387805674,2401.165118866
43.01,0.101325,991.031796226,0.00100904936028,180.094600716,180.196842642,0.612347608178,4.05950442716,4.17979138383,1533.61973102,-0.210262450427,0.00061770855312,0.634761773287,liquid,0.0691046187893,0.00865534837835,2398.767881854
44.01,0.101325,990.623784121,0.0010094649614,184.274431609,184.376715646,0.625547495861,4.05482348162,4.17995791938,1535.06871617,-0.209679837399,0.00060667519287,0.6360913376,liquid,0.068940177437,0.00911711291161,2396.36848144
45.01,0.101325,990.208712541,0.00100988810473,188.454438047,188.55676496,0.638706384978,4.05011227621,4.18014389245,1536.46046278,-0.209100191418,0.00059596059214,0.637398867704,liquid,0.0687751956416,0.00959993385045,2393.966852043
46.01,0.101325,989.786671727,0.00101031871671,192.634639154,192.737009698,0.651824592834,4.04537171462,4.18034866847,1537.79577617,-0.208523357369,0.00058555236643,0.638684348138,liquid,0.0686096747309,0.0101045946803,2391.562928157
47.01,0.101325,989.357749052,0.00101075672673,196.815053447,196.917468372,0.664902431866,4.04060269626,4.18057167264,1539.07544575,-0.207949183626,0.00057543874065,0.639947781691,liquid,0.0684436160377,0.0106319007846,2389.156644253
48.01,0.101325,988.92202914,0.00101120206703,200.995698896,201.098158946,0.677940209886,4.03580611609,4.1808123865,1540.3002453,-0.207377521887,0.00056560851284,0.641189188527,liquid,0.0682770208998,0.0111826794759,2386.747934737
49.01,0.101325,988.479593967,0.00101165467259,205.176592983,205.279098892,0.690938230302,4.0309828645,4.18107034474,1541.47093322,-0.20680822703,0.00055605102054,0.642408605314,liquid,0.0681098906603,0.0117577805054,2384.336733947
50.01,0.101325,988.03052297,0.00101211448103,209.357752745,209.460305244,0.703896792342,4.02613382707,4.18134513207,1542.58825282,-0.206241156964,0.00054675610935,0.643606084376,liquid,0.0679422266673,0.0123580764345,2381.922976033
51.01,0.101325,987.574893135,0.00101258143251,213.539194829,213.641794643,0.716816191249,4.02125988437,4.18163638038,1543.65293258,-0.205676172505,0.00053771410363,0.644781692845,liquid,0.0677740302743,0.012984462902,2379.506594955
52.01,0.101325,987.112779098,0.00101305546962,217.720935538,217.823583384,0.729696718471,4.01636191168,4.18194376597,1544.66568642,-0.205113137245,0.00052891577922,0.645935511846,liquid,0.0676053028401,0.0136378590035,2377.087524429
53.01,0.101325,986.644253222,0.00101353653734,221.90299087,222.00568746,0.742538661845,4.0114407787,4.1822670069,1545.62721392,-0.204551917443,0.0005203523379,0.647067635686,liquid,0.0674360457285,0.0143192075836,2374.665697863
54.01,0.101325,986.169385689,0.00101402458291,226.085376561,226.188122602,0.755342305761,4.00649734925,4.18260586057,1546.53820059,-0.203992381909,0.00051201538359,0.648178171065,liquid,0.067266260309,0.0150294757053,2372.241048379
55.01,0.101325,985.688244571,0.00101451955576,230.268108122,230.370904316,0.768107931322,4.00153248097,4.18296012129,1547.3993181,-0.203434401903,0.00050389690006,0.64926723631,liquid,0.0670959479563,0.0157696547272,2369.813508708
56.01,0.101325,985.200895908,0.00101502140746,234.451200878,234.554047922,0.780835816492,3.99654702499,4.18332961811,1548.21122452,-0.202877851039,0.00049598923007,0.650334960622,liquid,0.0669251100505,0.0165407608889,2367.383011184
57.01,0.101325,984.70740378,0.00101553009164,238.634669998,238.737568585,0.793526236236,3.99154182561,4.18371421266,1548.97456458,-0.202322605191,0.00048828505592,0.651381483346,liquid,0.0667537479773,0.0173438355447,2364.949487741
58.01,0.101325,984.207830372,0.00101604556389,242.818530527,242.921481344,0.806179462655,3.98651771995,4.18411379718,1549.68996986,-0.201768542403,0.00048077738114,0.652406953264,liquid,0.0665818631277,0.018179945512,2362.512869816
59.01,0.101325,983.702236038,0.00101656778176,247.002797419,247.105801149,0.818795765105,3.98147553767,4.18452829257,1550.35805904,-0.201215542808,0.00047345951339,0.653411527906,liquid,0.0664094568985,0.019050183224,2360.07308838
60.01,0.101325,983.190679364,0.00101709670463,251.187485558,251.290542882,0.831375410318,3.97641610062,4.18495764661,1550.97943813,-0.200663488549,0.00046632504839,0.654395372882,liquid,0.066236530692,0.0199556673607,2357.630073889
61.01,0.101325,982.673217226,0.0010176322937,255.372609794,255.475721386,0.843918662509,3.97134022253,4.18540183225,1551.55470068,-0.200112263701,0.00045936785489,0.655358661238,liquid,0.066063085916,0.020897542904,2355.183756256
62.01,0.101325,982.149904845,0.00101817451192,259.558184956,259.661351489,0.856425783476,3.9662487087,4.18586084598,1552.084428,-0.199561754198,0.00045258206049,0.656301572832,liquid,0.0658891239842,0.0218769815804,2352.73406482
63.01,0.101325,981.620795838,0.00101872332396,263.744225886,263.847448026,0.868897032705,3.96114235572,4.18633470629,1552.5691894,-0.199011847767,0.00044596203836,0.65722429373,liquid,0.0657146463159,0.0228951821276,2350.280928342
64.01,0.101325,981.085942273,0.0010192786961,267.930747449,268.034025863,0.881332667452,3.95602195118,4.18682345225,1553.00954237,-0.198462433856,0.00043950239481,0.658127015631,liquid,0.0655396543362,0.0239533706229,2347.824274983
65.01,0.101325,980.545394712,0.00101984059626,272.117764564,272.221099912,0.893732942832,3.95088827339,4.1873271421,1553.40603281,-0.197913403574,0.00043319795748,0.659009935302,liquid,0.0653641494761,0.0250528007101,2345.364032256
66.01,0.101325,979.999202261,0.0010204089939,276.305292212,276.408685154,0.906098111901,3.94574209113,4.18784585199,1553.75919524,-0.197364649627,0.00042704376431,0.659873254045,liquid,0.0651881331724,0.0261947540751,2342.900127034
67.01,0.101325,979.44741261,0.00102098386001,280.493345464,280.596796653,0.918428425726,3.94058416341,4.18837967471,1554.06955299,-0.196816066259,0.00042103505318,0.660717177181,liquid,0.0650116068677,0.0273805405039,2340.432485528
68.01,0.101325,978.890072079,0.00102156516704,284.681939486,284.785449577,0.930724133461,3.93541523922,4.18892871858,1554.33761845,-0.196267549193,0.00041516725205,0.661541913553,liquid,0.0648345720107,0.0286114984028,2337.961033277
69.01,0.101325,978.327225655,0.00102215288891,288.871089564,288.974659205,0.942985482408,3.93023605732,4.18949310632,1554.56389319,-0.195718995577,0.00040943596978,0.662347675055,liquid,0.0646570300562,0.0298889948971,2335.485695095
70.01,0.101325,977.758917029,0.00102274700091,293.060811109,293.164440949,0.955212718084,3.92504734607,4.19007297406,1554.74886825,-0.195170303928,0.00040383698739,0.663134676175,liquid,0.0644789824649,0.0312144262703,2333.006395115
71.01,0.101325,977.185188638,0.00102334747971,297.251119679,297.354810363,0.967406084276,3.91984982319,4.19066847033,1554.89302428,-0.194621374078,0.00039836624986,0.663903133567,liquid,0.0643004307035,0.0325892181384,2330.523056731
72.01,0.101325,976.606081692,0.00102395430332,301.442030983,301.545783153,0.979565823098,3.91464419565,4.19127975519,1554.99683174,-0.194072107129,0.00039301985839,0.664653265633,liquid,0.0641213762452,0.0340148257643,2328.035602611
73.01,0.101325,976.021636216,0.00102456745106,305.633560896,305.737375193,0.99169217504,3.90943115946,4.19190699935,1555.06075111,-0.193522405393,0.00038779406302,0.665385292133,liquid,0.0639418205691,0.0354927342591,2325.543954659
74.01,0.101325,975.431891072,0.00102518690352,309.825725468,309.929602531,1.00378537902,3.90421139957,4.19255038335,1555.08523307,-0.192972172353,0.00038268525581,0.666099433807,liquid,0.0637617651607,0.0370244590805,2323.048034046
75.01,0.101325,974.836883999,0.00102581264252,314.018540936,314.122481402,1.01584567242,3.89898558973,4.19321009684,1555.07071868,-0.19242131261,0.00037768996421,0.666795912022,liquid,0.0635812115118,0.0386115459084,2320.547761155
76.01,0.101325,974.236651636,0.00102644465112,318.21202373,318.316028234,1.02787329114,3.89375439239,4.19388633787,1555.01763957,-0.191869731834,0.00037280484491,0.667474948434,liquid,0.0634001611205,0.0402555712708,2318.043055603
